Longitude;Latitude;geohash;unique_prefix
-46.56;-23.56;6gycux0113f8;6gycux0
-46.66;-23.6;6gycdpz0p1n6;6gycdpz
-46.65;-23.57;6gycfmnwb1te;6gycfmn
-46.65;-23.57;6gycfmnwb1te;6gycfmn
-46.7;-23.62;6gyc9k45e0ew;6gyc9k4
-46.65;-23.57;6gycfmnwb1te;6gycfmn
-46.64;-23.55;6gyf48vg31zy;6gyf48v
-46.67;-23.61;6gyc9vzvy0zh;6gyc9vz
-46.7;-23.68;6gyc334jgpgx;6gyc334
-46.7;-23.62;6gyc9k45e0ew;6gyc9k4
-46.65;-23.55;6gyf42ye21vw;6gyf42y
-46.7;-23.62;6gyc9k45e0ew;6gyc9k4
-46.69;-23.59;6gycc996k1jx;6gycc99
-46.72;-23.59;6gycbced314p;6gycbce
-46.66;-23.56;6gycfpp1p1y2;6gycfpp
-46.69;-23.59;6gycc996k1jx;6gycc99
-46.59;-23.58;6gycgg6hw33v;6gycgg6
-46.68;-23.6;6gyc9zb8j1hf;6gyc9zb
-46.7;-23.62;6gyc9k45e0ew;6gyc9k4
-46.68;-23.58;6gyccg2st1kv;6gyccg2
-47.46;-23.53;6gy60h2xvcgw;6gy60h2
-77.45;25.03;dk2ymsddk629;dk2ymsd
-77.47;25.07;dk2yt5u564sm;dk2yt5u
-77.33;25.09;dk3n8r6pb752;dk3n8r6
-77.33;25.07;dk3n87f526em;dk3n87f
-77.34;25.08;dk3n8jdtx6yg;dk3n8jd
-77.39;25.07;dk2ywgy7669v;dk2ywgy
-77.46;25.06;dk2yt65354qr;dk2yt65
-77.32;25.09;dk3n8x3rc7j8;dk3n8x3
-77.32;25.08;dk3n8t9m96ve;dk3n8t9
-77.32;25.07;dk3n8ec736tt;dk3n8ec
-113.99;51.27;c3ngwj7j2sc1;c3ngwj7
-114.0;51.27;c3ngtv7trkyc;c3ngtv7
-114.01;51.29;c3ngv9h3ymhu;c3ngv9h
-114.01;51.3;c3ngvduknkuz;c3ngvdu
-114.01;51.3;c3ngvduknkuz;c3ngvdu
-113.99;51.27;c3ngwj7j2sc1;c3ngwj7
-115.57;51.18;c3jg4jh3pgd3;c3jg4jh
-115.57;51.18;c3jg4jh3pgd3;c3jg4jh
-115.56;51.15;c3jffref2gkk;c3jffre
-113.42;53.36;c3rre1fhd3pd;c3rre1f
-111.9;50.57;c8brttuzsgpq;c8brttu
-114.06;51.05;c3nfkt25c3te;c3nfkt2
-114.07;51.04;c3nfk78c83g2;c3nfk78
-114.07;51.05;c3nfkm2gb3e7;c3nfkm2
-114.07;51.05;c3nfkm2gb3e7;c3nfkm2
-114.08;51.05;c3nfkj37z395;c3nfkj3
-114.04;51.04;c3nfkgw9e3u0;c3nfkgw
-114.12;51.09;c3nfehskg4q3;c3nfehs
-114.01;51.13;c3nfveumy7hb;c3nfveu
-114.07;50.97;c3ncuqbcb2gk;c3ncuqb
-114.07;51.12;c3nfu60g867r;c3nfu60
-114.07;51.1;c3nfsq2z065k;c3nfsq2
-114.0;50.95;c3ncvg5tr2wc;c3ncvg5
-114.13;51.09;c3nfduthf63c;c3nfdut
-114.07;51.0;c3nfhk2b8356;c3nfhk2
-114.25;51.12;c3nfb4jew43r;c3nfb4j
-114.07;50.91;c3ncs7bu0rg6;c3ncs7b
-114.07;51.05;c3nfkm2gb3e7;c3nfkm2
-114.16;51.16;c3ng41rhx55w;c3ng41r
-113.98;51.07;c3nfw34233vw;c3nfw34
-114.03;50.93;c3nctptbu2nj;c3nctpt
-114.01;51.13;c3nfveumy7hb;c3nfveu
